generation,individual_id,green,yellow,red,speed,seed,fitness
7,2,17,3,25,80,1408,15390.2
7,3,17,3,24,80,1408,14384.199999999999
7,4,19,3,19,100,1408,12619.5
7,5,17,3,19,80,1408,13586.3
7,6,17,3,25,100,1408,14764.999999999998
7,7,17,3,21,80,1408,13248.8
7,8,29,3,25,80,1408,16294.3
7,9,17,3,21,100,1408,13068.599999999999
7,10,19,3,21,100,1408,13240.5
7,11,17,3,21,80,1408,13248.8
7,12,19,3,55,80,1408,55902.799999999996
7,13,17,3,24,80,1408,14384.199999999999
7,14,17,3,21,100,1408,13068.599999999999
7,15,17,3,21,100,1408,13068.599999999999
7,16,17,3,24,100,1408,14202.8
7,17,17,3,21,80,1408,13248.8
7,18,19,3,19,100,1408,12619.5
7,19,17,3,19,100,1408,12700.5
7,20,48,7,10,80,1408,71817.59999999999
7,21,19,3,25,80,1408,14078.5
7,22,43,3,25,100,1408,19642.3
7,23,19,3,19,100,1408,12619.5
7,24,19,3,21,80,1408,13702.399999999998
7,25,29,3,25,80,1408,16294.3
8,0,14,8,21,60,1408,31989.3
8,1,17,3,21,80,1408,13248.8
8,2,19,3,21,80,1408,13702.399999999998
8,3,17,3,21,100,1408,13068.599999999999
8,4,19,3,19,100,1408,12619.5
8,5,19,3,25,100,1408,14350.899999999998
8,6,29,3,21,80,1408,15756.699999999999
8,7,19,3,19,100,1408,12619.5
8,8,19,3,19,100,1408,12619.5
8,9,17,3,21,80,1408,13248.8
8,10,17,3,19,80,1408,13586.3
8,11,19,3,21,100,1408,1000000.0
8,12,19,3,21,100,1408,1000000.0
8,13,19,3,19,100,1408,12619.5
8,14,19,3,19,100,1408,12619.5
9,0,19,3,21,100,1408,13240.5
9,1,36,3,51,100,1408,21553.5
9,2,17,3,43,80,1408,42185.899999999994
9,3,19,3,19,100,1408,12619.5
9,4,19,3,19,100,1408,12619.5
9,5,13,3,19,60,1408,15086.8
9,6,17,3,21,100,1408,13068.599999999999
9,7,19,5,19,100,1408,15161.099999999999
9,8,17,3,21,100,1408,13068.599999999999
9,9,19,3,19,100,1408,12619.5
9,10,19,3,19,80,1408,12883.5
9,11,19,3,19,100,1408,12619.5
9,12,19,3,19,100,1408,12619.5
9,13,17,3,19,100,1408,12700.5
9,14,44,3,21,100,1408,23132.5
9,15,19,3,19,100,1408,12619.5
9,16,19,3,19,100,1408,12619.5
9,17,27,3,19,100,1408,13778.1
9,18,17,3,19,100,1408,12700.5
9,19,40,3,25,100,1408,19258.3
10,0,17,3,19,100,1408,12700.5
10,1,19,3,19,100,1408,12619.5
10,2,24,3,19,100,1408,13600.699999999999
10,3,19,3,19,100,1408,12619.5
10,4,19,3,19,100,1408,12619.5
10,5,19,3,19,100,1408,12619.5
10,6,19,3,19,100,1408,12619.5
10,7,20,3,19,100,1408,13568.599999999999
10,8,19,3,19,100,1408,12619.5
10,9,19,3,19,100,1408,12619.5
10,10,19,3,27,60,1408,15883.599999999999
10,11,19,3,35,80,1408,18867.3
10,12,19,3,19,100,1408,12619.5
10,13,19,3,19,100,1408,12619.5
10,14,19,3,19,100,1408,12619.5
10,15,19,8,19,100,1408,21671.9
10,16,19,3,19,100,1408,12619.5
11,0,19,3,19,100,1408,12619.5
11,1,19,3,19,100,1408,12619.5
11,2,59,3,19,100,1408,63074.09999999999
11,3,19,3,19,100,1408,12619.5
11,4,19,3,33,100,1408,18104.899999999998
11,5,27,3,19,100,1408,13778.1
11,6,43,8,19,60,1408,52895.3
